coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Mar 19 10:59:18 +0000 2018,,,,0,975688155113377793,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Android</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/justin_littman/status/975688155113377793,Thu Feb 02 12:19:18 +0000 2012,justin_littman,false,Software dev at Stanford @DigitalLib. Previously @gelmanlibrary & @librarycongress.,988,611,138,24,"Fairfax, VA",Justin Littman,justin_littman,2018,,,false
,Mon Mar 19 11:02:49 +0000 2018,,,,0,975689039566254081,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/tjowens/status/975689039566254081,Wed Nov 07 15:37:52 +0000 2007,tjowens,false,"Head of Digital Content Management @librarycongress, 👨‍🏫 @iSchoolUMD & @AmericanU. intersectional feminist/violinist/❤️small 🐶s & cardigans | unofficial",11438,7797,1877,521,"Hyattsville, MD",Trevor Owens 💾🗄🕚,tjowens,27252,,http://www.trevorowens.org/,true
,Mon Mar 19 11:19:46 +0000 2018,,,,0,975693308210155521,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/ModupeLabode/status/975693308210155521,Fri Mar 22 15:35:27 +0000 2013,ModupeLabode,false,Historian. Museumist. Diasporan. Midwesterner. In search of the next good read.,23854,1550,1385,91,Indianapolis,Modupe Labode,ModupeLabode,9813,,,false
,Mon Mar 19 09:14:10 +0000 2018,,,,1,975661697968103425,phonedude_mln,975418559420682200,151901549,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@phonedude_mln @justin_littman Yes, it sounds like you are talking about sousveillance? I guess my point is that many academic research institutions are themselves rich &amp; powerful, and have very real ties and incentives to work with corporations and government.",https://twitter.com/edsu/status/975661697968103425,Tue Apr 08 12:43:41 +0000 2008,edsu,false,"I work at @umd_mith, study web archives at @iSchoolUMD & work on @documentnow // I double dare you to follow me on Mastodon https://t.co/uNbSDrHZf6",14241,5472,3422,402,"Silver Spring, MD",Ed Summers,edsu,31270,,http://inkdroid.org,true
,Mon Mar 19 11:38:37 +0000 2018,,,,0,975698049799540736,,,,en,,,45,966744055219703808,rhizome,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @rhizome: The dramatic rise in the public’s use of the web and social media to document events presents tremendous opportunities to tran…,https://twitter.com/dalmailing/status/975698049799540736,Fri Nov 28 10:28:58 +0000 2014,dalmailing,false,"Web Archivist @natlibscot; interested in digital literacy, access to digital documentary history. Views are my own.",1784,292,1046,14,"Edinburgh, Scotland",dalmeilidh,dalmailing,407,,,false
,Mon Mar 19 03:31:15 +0000 2018,,,http://eaw.rhizome.org,0,975575399513116673,,,,en,,false,17,975356046704332801,edsu,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @edsu: We really couldn’t have planned a better backdrop for the conversation that’ll be going on at https://t.co/dexFYmOED0 this week.…,https://twitter.com/vdglenn/status/975575399513116673,Tue Feb 26 22:03:18 +0000 2008,vdglenn,false,Librarian; govdocs enthusiast; metadata realist.,2001,318,569,30,MD,Valerie Glenn,vdglenn,16954,,,false
,Mon Mar 19 11:40:15 +0000 2018,,,,0,975698461097189377,,,,en,,,45,966744055219703808,rhizome,"<a href=""https://twitterrific.com/ios"" rel=""nofollow"">Twitterrific for iOS</a>",RT @rhizome: The dramatic rise in the public’s use of the web and social media to document events presents tremendous opportunities to tran…,https://twitter.com/UKWebArchive/status/975698461097189377,Mon May 30 07:09:23 +0000 2011,UKWebArchive,false,"UK Legal Deposit Libraries collecting, preserving and giving access to the archived UK web. Blog: https://t.co/IrZZuVxa99",650,5720,630,290,United Kingdom,UK Web Archive,UKWebArchive,3667,,http://www.webarchive.org.uk/,false
,Mon Mar 19 12:31:52 +0000 2018,,,,0,975711453171855361,,,,en,,,77,975041617684934656,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/edrabinski/status/975711453171855361,Thu Mar 06 17:04:36 +0000 2008,edrabinski,false,"Reader, writer. Librarian, pedestrian. I show off the books at @LIUBrooklyn and edit them @LibJuicePress. President, @liu_ff. #unionstrong",67198,8833,3119,377,Brooklyn,Emily Drabinski,edrabinski,68228,,http://www.emilydrabinski.com,false
,Mon Mar 19 21:25:15 +0000 2018,eaw18 archives ethics,,https://eaw.rhizome.org/,0,975845679909298176,,,,en,,false,3,975842683968282624,amdial,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @amdial: National Forum on Ethics and Archiving the Web https://t.co/GKV7j4VpUc #eaw18 #archives #ethics @rhizome @newmuseum @documentno…,https://twitter.com/poeticdoxa/status/975845679909298176,Sat Feb 21 21:56:12 +0000 2009,poeticdoxa,false,Toward an Imperfect Archives | Movement+Media | advocate for Marxist Afrosurrealist feminisms & freedom dreams | UCLA MLIS | Co-Chair AMIA IndieMedia | he/him,8304,679,1408,32,Omniverse,robin margolis,poeticdoxa,6295,,http://poeticdoxa.tumblr.com,false
,Mon Mar 19 17:58:43 +0000 2018,,,,0,975793707252355077,,,,en,,,77,975041617684934656,BergisJules,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BergisJules: On March 22nd-24th, 2018 @documentnow and @rhizome/@webrecorder_io will host Ethics and Archiving the Web in NYC. I hope y…",https://twitter.com/NCArchivists/status/975793707252355077,Wed Jul 14 14:32:54 +0000 2010,NCArchivists,false,The Society of North Carolina Archivists promotes cooperation in preservation and use of archival and manuscript resources of North Carolina.,168,809,257,52,North Carolina,Soc of NC Archivists,NCArchivists,1809,,http://www.ncarchivists.org/,false
