coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Mar 22 00:20:08 +0000 2018,,,,0,976614468670156800,,,,en,,,19,976587661979869185,morehshin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @morehshin: tomorrow i'm giving a talk on 'digital colonialism, the problem of 'universal' cultural heritage, and the complications of w…",https://twitter.com/shannonmattern/status/976614468670156800,Fri Aug 19 02:57:32 +0000 2011,shannonmattern,false,"Faculty, The New School. Architecture, archives, cities, infrastructure, libraries, maps, sound +++. Tend to reserve party politics for other platforms.",22314,7057,4496,204,"New York, NY",Shannon Mattern,shannonmattern,13365,,http://www.wordsinspace.net,false
,Thu Mar 22 00:54:45 +0000 2018,EAW18,,https://twitter.com/krisshaffer/status/976560377981997056,4,976623181690822656,,,,en,,false,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is a great thread, and ultra apropos to #EAW18. And also the whole world. h/t @hypervisible https://t.co/0xPk0vrmhy",https://twitter.com/amplify285/status/976623181690822656,Sat Dec 28 16:59:05 +0000 2013,amplify285,false,"talker. writer. professor @ Amherst C. + director & cultivator of media, digital, & tech ecologies @irLhumanities #DH #VR/#AR Endorsements complex. a she/ they",9063,2099,1673,76,"Amherst, MA",Marisa Parham,amplify285,5142,,http://mp285.com,false
,Thu Mar 22 00:22:34 +0000 2018,EAW18,,,21,976615082103885824,,,,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I'm bringing two critical things to #EAW18 tomorrow morning: girl scout cookies, and my girlfriend. Find me for thin mints!",https://twitter.com/edrabinski/status/976615082103885824,Thu Mar 06 17:04:36 +0000 2008,edrabinski,false,"Reader, writer. Librarian, pedestrian. I show off the books at @LIUBrooklyn and edit them @LibJuicePress. President, @liu_ff. #unionstrong",67198,8833,3119,377,Brooklyn,Emily Drabinski,edrabinski,68228,,http://www.emilydrabinski.com,false
,Thu Mar 22 00:26:30 +0000 2018,eaw18,,https://twitter.com/rhizome/status/976456922554621957?s=21,2,976616070902509569,,,,en,,false,2,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#eaw18 livestream https://t.co/S5bfONXN2S,https://twitter.com/BergisJules/status/976616070902509569,Sat Dec 15 04:02:22 +0000 2012,BergisJules,false,immigrant | archivist | doer of things | @DocumentNow https://t.co/s643ifXmdI,16531,2850,1109,122,"California, USA",Bergis Jules 🇱🇨,BergisJules,15287,,https://medium.com/@BergisJules,false
,Thu Mar 22 00:25:48 +0000 2018,,,,0,976615893366054912,,,,en,,,22,976459872391876609,sdaythomson,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @sdaythomson: Need a dose of ethical web archiving to clear the bad taste of the perpetually unfolding Cambridge Analytics scandal? The…,https://twitter.com/margymaclibrary/status/976615893366054912,Wed Sep 28 21:22:23 +0000 2011,margymaclibrary,false,"Retired MRU Librarian, tweets & retweets: communications/design/Indigenous matters/library/SoTL/PSE/science/fun; now on Songhees, Esquimalt & WSÁNEĆ lands",180300,2893,2822,324,YYJ,margy maclibrary,margymaclibrary,55368,,http://www2.mtroyal.ca/~mmacmillan,false
,Thu Mar 22 01:07:48 +0000 2018,,,,0,976626461930123275,rhizome,976122387560325100,5281191,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@rhizome Still looking for a link to the live streaming site. Will you be posting it.,https://twitter.com/mkmaes/status/976626461930123275,Fri Feb 20 13:54:13 +0000 2009,mkmaes,false,law librarian and preservationist,873,177,164,13,"Bloomington, IN, USA",Margie Maes,mkmaes,1313,,http://lipalliance.org/,false
,Thu Mar 22 00:28:19 +0000 2018,eaw18 BlackPanther,,,30,976616528694075394,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Upside to being stuck in Denver for a night on my way to #eaw18 is I got to see #BlackPanther today. And 🍺.,https://twitter.com/BergisJules/status/976616528694075394,Sat Dec 15 04:02:22 +0000 2012,BergisJules,false,immigrant | archivist | doer of things | @DocumentNow https://t.co/s643ifXmdI,16531,2850,1109,122,"California, USA",Bergis Jules 🇱🇨,BergisJules,15287,,https://medium.com/@BergisJules,false
,Thu Mar 22 00:05:48 +0000 2018,eaw18,,,26,976610863191793664,,,,en,,,2,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Folks are trying really hard to make it to NYC for #eaw18. We appreciate y’all. Safe travels and it’s ok if you can’t make it. We’ll have the livestream going.,https://twitter.com/BergisJules/status/976610863191793664,Sat Dec 15 04:02:22 +0000 2012,BergisJules,false,immigrant | archivist | doer of things | @DocumentNow https://t.co/s643ifXmdI,16531,2850,1109,122,"California, USA",Bergis Jules 🇱🇨,BergisJules,15287,,https://medium.com/@BergisJules,false
,Thu Mar 22 00:41:11 +0000 2018,,,http://eaw.rhizome.org,0,976619766944182272,,,,en,,false,17,975356046704332801,edsu,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @edsu: We really couldn’t have planned a better backdrop for the conversation that’ll be going on at https://t.co/dexFYmOED0 this week.…,https://twitter.com/margymaclibrary/status/976619766944182272,Wed Sep 28 21:22:23 +0000 2011,margymaclibrary,false,"Retired MRU Librarian, tweets & retweets: communications/design/Indigenous matters/library/SoTL/PSE/science/fun; now on Songhees, Esquimalt & WSÁNEĆ lands",180300,2893,2822,324,YYJ,margy maclibrary,margymaclibrary,55368,,http://www2.mtroyal.ca/~mmacmillan,false
,Thu Mar 22 00:26:23 +0000 2018,,,,1,976616043102834688,edrabinski,976615082103885800,14089871,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@edrabinski I most certainly will!!! And yay for the girlfriend too. 🤗,https://twitter.com/ZZcollier/status/976616043102834688,Sat Jul 10 03:03:11 +0000 2010,ZZcollier,false,Black. sensitive. intelligent. aware.  Aspiring archivist/librarian. Currently Mastering NYU & LIU.,2534,1031,1421,15,Lenapehoking,the prototype,ZZcollier,55481,,,false
