coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Mar 21 12:40:44 +0000 2018,aas2018 EAW18,https://twitter.com/justin_littman/status/976438456372080640/photo/1,,8,976438456372080640,,,,en,"Fairfax, VA",false,1,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","My travel over the next few days involves planes, trains &amp; automobiles (plus a bus, Lyft &amp; walking). What could go wrong? #aas2018 &amp; #EAW18 https://t.co/U60o6p0JUc",https://twitter.com/justin_littman/status/976438456372080640,Thu Feb 02 12:19:18 +0000 2012,justin_littman,false,Software dev at Stanford @DigitalLib. Previously @gelmanlibrary & @librarycongress.,988,611,138,24,"Fairfax, VA",Justin Littman,justin_littman,2018,,,false
,Wed Mar 21 02:04:18 +0000 2018,,,,2,976278292889157632,phonedude_mln,976269948090835000,151901549,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@phonedude_mln @amplify285 @michael_connor Safe travels. I’ll be there Thursday afternoon as well.,https://twitter.com/BergisJules/status/976278292889157632,Sat Dec 15 04:02:22 +0000 2012,BergisJules,false,immigrant | archivist | doer of things | @DocumentNow https://t.co/s643ifXmdI,16531,2850,1109,122,"California, USA",Bergis Jules 🇱🇨,BergisJules,15287,,https://medium.com/@BergisJules,false
,Wed Mar 21 12:50:48 +0000 2018,,,http://eaw.rhizome.org,0,976440992390877185,,,,en,,false,17,975356046704332801,edsu,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @edsu: We really couldn’t have planned a better backdrop for the conversation that’ll be going on at https://t.co/dexFYmOED0 this week.…,https://twitter.com/TurnedPageist/status/976440992390877185,Mon Jul 10 20:05:10 +0000 2017,TurnedPageist,false,"J.D.; MLIS '09. Spectrum Scholar 2018-19; Code4Lib Scholar, RBMS Scholar 2018. I've been places & done things. Academic archives & digital humanities. she/her",6761,425,1204,9,"Massachusetts, USA",#HeyGina,TurnedPageist,3646,,,false
,Wed Mar 21 12:33:29 +0000 2018,eaw18,,,0,976436634576146432,ianmilligan1,,255681367,en,,,0,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",@ianmilligan1 how are you travel plans holding up in the face of snow storm Toby? Still going to make it to #eaw18?,https://twitter.com/walkeroh/status/976436634576146432,Sat Jan 06 01:15:19 +0000 2007,walkeroh,false,"Assistant Professor @asu's @asunewcollege. Studying social media, resistance, methodology, collection, archiving, and analysis. Views are my own.",348,793,863,59,"Seattle, WA",Shawn Walker,walkeroh,1235,,http://shawnw.io,false
,Wed Mar 21 04:59:48 +0000 2018,,,,2,976322459849736192,rhizome,976268933744549900,5281191,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@rhizome I got James Blunt’s You’re Beautiful on repeat and it didn’t make me feel any better,https://twitter.com/psychedelics/status/976322459849736192,Mon Jul 07 21:59:39 +0000 2008,psychedelics,false,archivist and art-ivist (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧ ~ephemeral,2004,302,306,2,silver lake,the immortal bard simpson,psychedelics,4995,,http://saida.work,false
,Wed Mar 21 07:40:49 +0000 2018,,,,2,976362980748222464,rhizome,976268933744549900,5281191,en,,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",@rhizome 35 minutes of British Airways' Lakme Flower Duet on classical guitar and 37 minutes combined of weird Dutch jazz(?).... to successfully re-book for Thursday night via London. Be with you Friday first thing!,https://twitter.com/sdaythomson/status/976362980748222464,Fri Sep 05 13:04:57 +0000 2014,sdaythomson,false,Research Officer for Digital Preservation Coalition. Preserving bits and drinking tea. Views my own.,1566,827,555,33,"Glasgow, UK",Sara Day Thomson,sdaythomson,1596,,,false
,Wed Mar 21 02:15:51 +0000 2018,EAW18,,,0,976281200774979584,,,,en,,,18,976281030536523776,BergisJules,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BergisJules: Really appreciate all those who are able to rebook travel in order to be able to join us for #EAW18 in NYC. For those who…,https://twitter.com/documentnow/status/976281200774979584,Sun Aug 23 15:06:18 +0000 2015,documentnow,false,tools + community + ethics for documenting the now / banner image: Haaaaands Up! Dooooon't Shoot! by @jbouie. Tweets by @BergisJules & @edsu,1335,2060,318,74,in the network,DocumentingTheNow,documentnow,2005,,http://www.docnow.io,false
,Wed Mar 21 01:34:06 +0000 2018,,,,3,976270695926845440,phonedude_mln,976269948090835000,151901549,en,,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@phonedude_mln @BergisJules @amplify285 sorry to hear this! thursday am is definitely a safer option though, and bergis will miss his opening remarks as well. looking forward to meeting!",https://twitter.com/michael_connor/status/976270695926845440,Mon Oct 06 03:53:28 +0000 2008,michael_connor,false,Artistic Director @rhizome. Macromedia Flash user.,8644,2824,1236,92,"Rockaway Park, Queens",Michael Connor,michael_connor,3955,,http://www.rhizome.org,false
,Wed Mar 21 03:03:54 +0000 2018,,,,3,976293292475277312,rhizome,976268933744549900,5281191,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@rhizome I endured about 46 minutes of new coldplay,https://twitter.com/hannahmm____/status/976293292475277312,Wed Feb 21 09:32:48 +0000 2018,hannahmm____,false,"Archivist, Center for Curatorial Studies at Bard. Previously at @mocalosangeles 🗃🗂",6,21,76,0,"Hudson, NY",Hannah Mandel,hannahmm____,9,,http://www.hannahmandel.com,false
,Wed Mar 21 11:11:21 +0000 2018,EAW18,,,0,976415966308589568,,,,en,,,18,976281030536523776,BergisJules,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BergisJules: Really appreciate all those who are able to rebook travel in order to be able to join us for #EAW18 in NYC. For those who…,https://twitter.com/jbolmarcich/status/976415966308589568,Fri Jan 28 21:49:52 +0000 2011,jbolmarcich,false,"-noun, h. sapiens; see SYN. archivist, queer, knitter. settler near the Kwinitekw. she/her/hers. Thoughts=mine. ORCID 0000-0003-2929-2062",69821,1527,4998,138,Western Mass.,Jen Bolmarcich,jbolmarcich,23252,,,false
